experiment,i,M,base,pm,lora,q,BS,GAS,GBS,beam,tGPU,gGPU
CharismaticDQar,4,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,79.,46.
CharismaticDQar,3,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,79.,46.
CharismaticDQar,2,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,79.,46.
CharismaticDQar,1,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,79.,46.
CaptivatingVentress,10,h,TimelessOrson/21,3b,,bf16,128,32,6,3,48.,29.
CaptivatingVentress,9,h,TimelessOrson/21,3b,,bf16,128,32,6,3,48.,29.
CaptivatingVentress,8,h,TimelessOrson/21,3b,,bf16,128,32,6,3,48.,29.
CaptivatingVentress,7,h,TimelessOrson/21,3b,,bf16,128,32,6,3,48.,29.
CaptivatingVentress,6,h,TimelessOrson/21,3b,,bf16,128,32,6,3,48.,29.
CaptivatingVentress,5,h,TimelessOrson/21,3b,,bf16,128,32,6,3,48.,29.
CaptivatingVentress,4,h,TimelessOrson/21,3b,,bf16,128,32,6,3,48.,29.
CaptivatingVentress,3,h,TimelessOrson/21,3b,,bf16,128,32,6,3,48.,29.
CaptivatingVentress,2,h,TimelessOrson/21,3b,,bf16,128,32,6,3,48.,29.
CaptivatingVentress,1,h,TimelessOrson/21,3b,,bf16,128,32,6,3,48.,29.
CaptivatingVandor,11,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,79.,46.
CaptivatingVandor,10,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,79.,46.
CaptivatingVandor,9,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,79.,46.
CaptivatingVandor,8,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,79.,46.
CaptivatingVandor,7,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,79.,46.
CaptivatingVandor,6,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,79.,46.
CaptivatingVandor,5,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,79.,46.
CaptivatingVandor,4,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,79.,46.
CaptivatingVandor,3,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,79.,46.
CaptivatingVandor,2,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,79.,46.
CaptivatingVandor,1,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,79.,46.
BewitchingBespin,0,h,FiercePoe/6,11,32,nf4,256,128,6,3,Non,20.
AudaciousChewbacca,0,h,RadiantDantooine/8,11,32,nf4,256,128,6,3,Non,20.
BoldKessel,0,h,EnthrallingPillio/5,11,,bf16,256,128,6,3,Non,35.
CaptivatingAtollon,10,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,53.,22.
CaptivatingAtollon,9,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,53.,22.
CaptivatingAtollon,8,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,53.,22.
CaptivatingAtollon,7,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,53.,22.
CaptivatingAtollon,6,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,53.,22.
CaptivatingAtollon,5,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,53.,22.
CaptivatingAtollon,4,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,53.,22.
CaptivatingAtollon,3,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,53.,22.
CaptivatingAtollon,2,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,53.,22.
CaptivatingAtollon,1,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,53.,22.
BoldPamarthe,0,h,UnforgettableCatoNeimoidia/6,11,,bf16,256,128,6,3,Non,32.
BewitchingKiAdi,0,h,DaringUtapau/8,11,,bf16,256,128,6,3,Non,32.
ElectricVentress,11,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
ElectricVentress,10,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
ElectricVentress,9,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
ElectricVentress,8,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
ElectricVentress,7,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
ElectricVentress,6,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
ElectricVentress,5,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
ElectricVentress,4,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
ElectricVentress,3,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
ElectricVentress,2,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
ElectricVentress,1,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
EmboldenedStewjon,11,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
EmboldenedStewjon,10,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
EmboldenedStewjon,9,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
EmboldenedStewjon,8,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
EmboldenedStewjon,7,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
EmboldenedStewjon,6,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
EmboldenedStewjon,5,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
EmboldenedStewjon,4,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
EmboldenedStewjon,3,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
EmboldenedStewjon,2,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
EmboldenedStewjon,1,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
EuphoricMygeeto,11,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
EuphoricMygeeto,10,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
EuphoricMygeeto,9,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
EuphoricMygeeto,8,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
EuphoricMygeeto,7,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
EuphoricMygeeto,6,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
EuphoricMygeeto,5,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
EuphoricMygeeto,4,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
EuphoricMygeeto,3,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
EuphoricMygeeto,2,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
EuphoricMygeeto,1,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
StalwartWampa,11,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
StalwartWampa,10,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
StalwartWampa,9,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
StalwartWampa,8,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
StalwartWampa,7,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
StalwartWampa,6,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
StalwartWampa,5,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
StalwartWampa,4,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
StalwartWampa,3,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
StalwartWampa,2,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
StalwartWampa,1,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
UntamedTusken,11,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
UntamedTusken,10,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
UntamedTusken,9,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
UntamedTusken,8,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
UntamedTusken,7,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
UntamedTusken,6,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
UntamedTusken,5,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
UntamedTusken,4,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
UntamedTusken,3,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
UntamedTusken,2,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
UntamedTusken,1,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,,bf16,256,128,6,3,49.,42.
HyperspaceAgamar,10,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,19.
HyperspaceAgamar,9,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,19.
HyperspaceAgamar,8,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,19.
HyperspaceAgamar,7,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,19.
HyperspaceAgamar,6,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,19.
HyperspaceAgamar,5,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,19.
HyperspaceAgamar,4,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,19.
HyperspaceAgamar,3,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,19.
HyperspaceAgamar,2,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,19.
HyperspaceAgamar,1,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,19.
EtherealLothal,11,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,16.
EtherealLothal,10,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,16.
EtherealLothal,9,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,16.
EtherealLothal,8,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,16.
EtherealLothal,7,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,16.
EtherealLothal,6,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,16.
EtherealLothal,5,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,16.
EtherealLothal,4,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,16.
EtherealLothal,3,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,16.
EtherealLothal,2,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,16.
EtherealLothal,1,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,16.
CelestialYlesia,10,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,20.
CelestialYlesia,9,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,20.
CelestialYlesia,8,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,20.
CelestialYlesia,7,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,20.
CelestialYlesia,6,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,20.
CelestialYlesia,5,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,20.
CelestialYlesia,4,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,20.
CelestialYlesia,3,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,20.
CelestialYlesia,2,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,20.
CelestialYlesia,1,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,20.
FearlessHera,11,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,21.
FearlessHera,10,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,21.
FearlessHera,9,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,21.
FearlessHera,8,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,21.
FearlessHera,7,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,21.
FearlessHera,6,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,21.
FearlessHera,5,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,21.
FearlessHera,4,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,21.
FearlessHera,3,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,21.
FearlessHera,2,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,21.
FearlessHera,1,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,21.
CharismaticCerea,11,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,17.
CharismaticCerea,10,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,17.
CharismaticCerea,9,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,17.
CharismaticCerea,8,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,17.
CharismaticCerea,7,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,17.
CharismaticCerea,6,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,17.
CharismaticCerea,5,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,17.
CharismaticCerea,4,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,17.
CharismaticCerea,3,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,17.
CharismaticCerea,2,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,17.
CharismaticCerea,1,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,nf4,256,128,6,3,30.,17.
IllustriousIridonia,0,h,UntamedKorriban/8,8B,32,bf16,256,64,6,3,Non,26.
TimelessCatoNeimoidia,0,h,DaringClakdorVII/3,8B,32,bf16,256,64,6,3,Non,27.
SupernovaKylo,0,h,LimitlessDromundKaas/6,8B,32,bf16,256,64,6,3,Non,25.
ImmortalBespin,0,h,ThunderousDantooine/2,8B,32,bf16,256,64,6,3,Non,26.
SerendipitousRex,0,h,IntrepidAlderaan/3,8B,32,bf16,256,64,6,3,Non,29.
MysticalGeneral,0,h,ElusiveChirrut/4,8B,32,bf16,256,64,6,3,Non,26.
WondrousPamarthe,0,h,SerendipitousOrdMantell/6,8B,32,bf16,256,64,6,3,Non,27.
ElectricVandor,0,h,ResoluteNute/11,8B,32,bf16,256,64,6,3,Non,25.
MajesticChewbacca,0,h,RadiantOrson/10,8B,32,bf16,256,64,6,3,Non,26.
ThunderousVandor,0,h,HeroicQuarren/9,8B,32,bf16,256,64,6,3,Non,29.
MajesticKashyyyk,0,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,Non,26.
ResilientPamarthe,0,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,Non,27.
ValiantShaak,0,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,Non,25.
UntamedManaan,0,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,Non,26.
RogueOnderon,0,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,Non,28.
IllustriousUmbara,0,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,Non,26.
FormidableBB8,0,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,Non,27.
AstralYoda,0,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,Non,25.
SerendipitousFelucia,0,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,Non,26.
NebulousBarriss,0,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,Non,28.
DaringClakdorVII,10,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,28.
DaringClakdorVII,9,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,28.
DaringClakdorVII,8,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,28.
DaringClakdorVII,7,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,28.
DaringClakdorVII,6,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,28.
DaringClakdorVII,5,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,28.
DaringClakdorVII,4,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,28.
DaringClakdorVII,3,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,28.
DaringClakdorVII,2,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,28.
DaringClakdorVII,1,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,28.
LimitlessDromundKaas,11,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,25.
LimitlessDromundKaas,10,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,25.
LimitlessDromundKaas,9,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,25.
LimitlessDromundKaas,8,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,25.
LimitlessDromundKaas,7,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,25.
LimitlessDromundKaas,6,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,25.
LimitlessDromundKaas,5,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,25.
LimitlessDromundKaas,4,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,25.
LimitlessDromundKaas,3,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,25.
LimitlessDromundKaas,2,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,25.
LimitlessDromundKaas,1,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,25.
UntamedKorriban,10,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,29.
UntamedKorriban,9,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,29.
UntamedKorriban,8,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,29.
UntamedKorriban,7,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,29.
UntamedKorriban,6,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,29.
UntamedKorriban,5,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,29.
UntamedKorriban,4,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,29.
UntamedKorriban,3,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,29.
UntamedKorriban,2,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,29.
UntamedKorriban,1,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,29.
IntrepidAlderaan,11,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,30.
IntrepidAlderaan,10,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,30.
IntrepidAlderaan,9,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,30.
IntrepidAlderaan,8,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,30.
IntrepidAlderaan,7,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,30.
IntrepidAlderaan,6,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,30.
IntrepidAlderaan,5,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,30.
IntrepidAlderaan,4,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,30.
IntrepidAlderaan,3,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,30.
IntrepidAlderaan,2,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,30.
IntrepidAlderaan,1,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,30.
ThunderousDantooine,10,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,27.
ThunderousDantooine,9,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,27.
ThunderousDantooine,8,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,27.
ThunderousDantooine,7,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,27.
ThunderousDantooine,6,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,27.
ThunderousDantooine,5,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,27.
ThunderousDantooine,4,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,27.
ThunderousDantooine,3,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,27.
ThunderousDantooine,2,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,27.
ThunderousDantooine,1,h,FearlessTakodana/21,8B,32,bf16,256,64,6,3,63.,27.
FearlessTakodana,21,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,24.
FearlessTakodana,20,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,24.
FearlessTakodana,19,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,24.
FearlessTakodana,18,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,24.
FearlessTakodana,17,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,24.
FearlessTakodana,16,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,24.
FearlessTakodana,15,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,24.
FearlessTakodana,14,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,24.
FearlessTakodana,13,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,24.
FearlessTakodana,12,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,24.
FearlessTakodana,11,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,24.
FearlessTakodana,10,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,24.
FearlessTakodana,9,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,24.
FearlessTakodana,8,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,24.
FearlessTakodana,7,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,24.
FearlessTakodana,6,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,24.
FearlessTakodana,5,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,24.
FearlessTakodana,4,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,24.
FearlessTakodana,3,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,24.
FearlessTakodana,2,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,24.
FearlessTakodana,1,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,24.
IllustriousIego,5,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,29.
IllustriousIego,4,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,29.
IllustriousIego,3,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,29.
IllustriousIego,2,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,29.
IllustriousIego,1,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,64,6,3,63.,29.
SerendipitousOrdMantell,10,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,128,6,3,40.,28.
SerendipitousOrdMantell,9,h,meta-llama/Meta-Llama-3.1-8B-Instruct,8B,32,bf16,256,128,6,3,40.,28.
